loss,accuracy,val_loss,val_accuracy,lr
0.7543174028396606,0.6154618263244629,0.5172995924949646,0.7407407164573669,9.999999747378752e-05
0.5888454914093018,0.6927710771560669,0.5921214818954468,0.6966966986656189,9.999999747378752e-05
0.5413914918899536,0.7289156317710876,0.5935930013656616,0.7017017006874084,9.999999747378752e-05
0.49492183327674866,0.7700802683830261,0.643513023853302,0.6866866946220398,9.999999747378752e-05
0.4920288622379303,0.7650601863861084,0.5279181003570557,0.7387387156486511,1.9999999494757503e-05
0.471040815114975,0.7660642266273499,0.5397899150848389,0.7377377152442932,1.9999999494757503e-05
0.6472240686416626,0.6134538054466248,0.5334993004798889,0.7097097039222717,9.999999747378752e-06
0.5657859444618225,0.7218875288963318,0.4953380227088928,0.7357357144355774,9.999999747378752e-06
0.5121103525161743,0.75,0.4941096007823944,0.7357357144355774,9.999999747378752e-06
0.486996054649353,0.7781124114990234,0.48701953887939453,0.7387387156486511,9.999999747378752e-06
0.4473881423473358,0.7921686172485352,0.47386640310287476,0.7567567229270935,9.999999747378752e-06
0.432243287563324,0.823293149471283,0.48983025550842285,0.7527527213096619,9.999999747378752e-06
0.4309019446372986,0.8042168617248535,0.5061545968055725,0.750750720500946,9.999999747378752e-06
0.4187272787094116,0.8032128214836121,0.5164095163345337,0.7527527213096619,9.999999747378752e-06
0.3994818925857544,0.8132529854774475,0.5211905837059021,0.7537537217140198,1.9999999949504854e-06
0.39309272170066833,0.8263052105903625,0.5185384154319763,0.7537537217140198,1.9999999949504854e-06
